
t [s] (#1), Input acceleration [g] (#1)
           0.0755101,             0.700951
           0.0758858,             0.463996
           0.0762615,            -0.231705
           0.0766371,            -0.699703
           0.0770128,            -0.476368
           0.0773885,              0.21907
           0.0777642,             0.698757
           0.0781398,             0.486358
           0.0785155,            -0.209202
           0.0788912,            -0.698276
           0.0792668,            -0.494049
           0.0796425,             0.202167
           0.0800182,             0.698389
           0.0803939,               0.4995
           0.0807695,            -0.198014
           0.0811452,            -0.699185
           0.0815209,            -0.502744
           0.0818965,             0.196785
           0.0822722,             0.700716
           0.0826479,             0.503791
           0.0830236,            -0.198505
           0.0833992,            -0.702998
           0.0837749,            -0.502622
           0.0841506,             0.203194
           0.0845263,             0.706008
           0.0849019,             0.499192
           0.0852776,            -0.210855
           0.0856533,            -0.709683
           0.0860289,            -0.493427
           0.0864046,             0.221484
           0.0867803,             0.713922
            0.087156,             0.485228
           0.0875316,            -0.235059
           0.0879073,            -0.718584
            0.088283,            -0.474473
           0.0886586,             0.251542
           0.0890343,             0.723484
             0.08941,             0.461016
           0.0897857,            -0.270872
           0.0901613,            -0.728399
            0.090537,            -0.444694
           0.0909127,             0.292965
           0.0912884,             0.733057
            0.091664,             0.425328
           0.0920397,            -0.317704
           0.0924154,            -0.737147
            0.092791,            -0.402731
           0.0931667,             0.344936
           0.0935424,             0.740311
           0.0939181,              0.37671
           0.0942937,            -0.374468
           0.0946694,            -0.742149
           0.0950451,            -0.347079
           0.0954207,             0.406053
           0.0957964,             0.742219
           0.0961721,             0.313662
           0.0965478,             -0.43939
           0.0969234,            -0.740037
           0.0972991,             -0.27631
           0.0976748,             0.474115
           0.0980505,             0.735086
           0.0984261,             0.234902
           0.0988018,            -0.509793
           0.0991775,            -0.726819
           0.0995531,            -0.189369
           0.0999288,             0.545915
            0.100304,             0.714667
             0.10068,             0.139698
            0.101056,             -0.58189
            0.101432,            -0.698048
            0.101807,           -0.0859543
            0.102183,             0.617042
            0.102559,             0.676382
            0.102934,            0.0282915
             0.10331,            -0.650613
            0.103686,            -0.649105
            0.104061,            0.0330288
            0.104437,             0.681759
            0.104813,             0.615687
            0.105188,           -0.0976224
            0.105564,            -0.709556
             0.10594,            -0.575656
            0.106315,             0.164967
            0.106691,             0.733013
            0.107067,              0.52862
            0.107442,             -0.23439
            0.107818,            -0.751077
            0.108194,            -0.474293
            0.108569,             0.305054
            0.108945,              0.76266
            0.109321,             0.412528
            0.109696,             -0.37595
            0.110072,            -0.766657
            0.110448,            -0.343347
            0.110823,             0.445897
            0.111199,             0.761977
            0.111575,              0.26697
             0.11195,            -0.513538
            0.112326,            -0.747584
            0.112702,            -0.183851
            0.113077,             0.577359
            0.113453,             0.722532
            0.113829,            0.0947022
            0.114204,            -0.635696
             0.11458,            -0.686021
            0.114956,         -0.000524093
            0.115331,             0.686775
            0.115707,             0.637446
            0.116083,           -0.0973777
            0.116458,            -0.728742
            0.116834,            -0.576455
             0.11721,              0.19738
            0.117585,             0.759718
            0.117961,              0.50301
            0.118337,            -0.297543
            0.118712,            -0.777862
            0.119088,            -0.417444
            0.119464,              0.39562
            0.119839,             0.781444
            0.120215,             0.320517
            0.120591,            -0.489092
            0.120966,            -0.768931
            0.121342,            -0.213462
            0.121718,             0.575209
            0.122093,             0.739085
            0.122469,            0.0980239
            0.122845,            -0.651062
             0.12322,             -0.69106
            0.123596,             0.023521
            0.123972,             0.713671
            0.124348,             0.624508
            0.124723,            -0.148366
            0.125099,            -0.760097
            0.125475,            -0.539677
             0.12585,             0.273198
            0.126226,              0.78757
            0.126602,             0.437508
            0.126977,            -0.394258
            0.127353,            -0.793641
            0.127729,            -0.319708
            0.128104,             0.507424
             0.12848,             0.776345
            0.128856,               0.1888
            0.129231,            -0.608343
            0.129607,            -0.734369
            0.129983,           -0.0481498
            0.130358,             0.692592
            0.130734,             0.667222
             0.13111,           -0.0980639
            0.131485,            -0.755873
            0.131861,            -0.575387
            0.132237,             0.244912
            0.132612,             0.794247
            0.132988,             0.460461
            0.133364,            -0.386845
            0.133739,            -0.804381
            0.134115,            -0.325241
            0.134491,             0.517869
            0.134866,             0.783818
            0.135242,             0.173773
            0.135618,            -0.631798
            0.135993,            -0.731235
            0.136369,           -0.0113255
            0.136745,             0.722544
             0.13712,             0.646688
            0.137496,            -0.155711
            0.137872,             -0.78447
            0.138247,            -0.531813
            0.138623,             0.320013
            0.138999,              0.81277
            0.139374,             0.389966
             0.13975,              -0.4736
            0.140126,            -0.803865
            0.140501,            -0.226276
            0.140877,             0.608216
            0.141253,             0.755791
            0.141628,            0.0475937
            0.142004,            -0.715775
             0.14238,            -0.668542
            0.142755,             0.137687
            0.143131,             0.788893
            0.143507,             0.544346
            0.143882,            -0.319943
            0.144258,            -0.821441
            0.144634,            -0.387823
            0.145009,             0.488772
            0.145385,             0.809118
            0.145761,             0.206007
            0.146136,            -0.633575
            0.146512,            -0.749981
            0.146888,          -0.00819305
            0.147264,             0.744252
            0.147639,             0.644881
            0.148015,            -0.194412
            0.148391,            -0.811965
            0.148766,            -0.497771
            0.149142,             0.389236
            0.149518,             0.829932
            0.149893,             0.315809
            0.150269,             -0.56308
            0.150645,            -0.794183
             0.15102,            -0.109232
            0.151396,             0.703029
            0.151772,             0.704209
            0.152147,             -0.10904
            0.152523,            -0.797473
            0.152899,            -0.563419
            0.153274,             0.324085
             0.15365,             0.837175
            0.154026,             0.379343
            0.154401,            -0.519933
            0.154777,            -0.816303
            0.155153,            -0.163511
            0.155528,             0.680752
            0.155904,             0.733307
             0.15628,           -0.0690452
            0.156655,            -0.792191
            0.157031,            -0.591547
            0.157407,             0.300671
            0.157782,             0.842796
            0.158158,             0.399562
            0.158534,            -0.512345
            0.158909,            -0.825341
            0.159285,            -0.170891
            0.159661,             0.685231
            0.160036,             0.737963
            0.160412,           -0.0766148
            0.160788,            -0.802442
            0.161163,            -0.584919
            0.161539,             0.321989
            0.161915,             0.850845
             0.16229,             0.376845
            0.162666,            -0.542836
            0.163042,            -0.822737
            0.163417,            -0.130399
            0.163793,             0.717377
            0.164169,              0.71719
            0.164544,            -0.132773
             0.16492,             -0.82672
            0.165296,            -0.540844
            0.165671,             0.387736
            0.166047,             0.857108
            0.166423,             0.308005
            0.166798,            -0.608551
            0.167174,            -0.801902
             0.16755,           -0.0398909
            0.167925,              0.77096
            0.168301,             0.663016
            0.168677,            -0.236987
            0.169053,            -0.855228
            0.169428,            -0.451562
            0.169804,             0.493271
             0.17018,             0.848817
            0.170555,             0.187486
            0.170931,            -0.699835
            0.171307,            -0.748529
            0.171682,             0.101891
            0.172058,             0.831224
            0.172434,             0.561787
            0.172809,            -0.384417
            0.173185,            -0.869053
            0.173561,            -0.306748
            0.173936,             0.626566
            0.174312,             0.804932
            0.174688,            0.0110639
            0.175063,            -0.797483
            0.175439,            -0.642446
            0.175815,             0.290727
             0.17619,             0.873159
            0.176566,             0.397798
            0.176942,            -0.561034
            0.177317,             -0.84018
            0.177693,           -0.0988358
            0.178069,             0.763904
            0.178444,             0.698466
             0.17882,            -0.217641
            0.179196,            -0.870017
            0.179571,            -0.462474
            0.179947,             0.510119
            0.180323,              0.86132
            0.180698,             0.160469
            0.181074,            -0.737769
             0.18145,            -0.734552
            0.181825,             0.168286
            0.182201,             0.866339
            0.182577,             0.502998
            0.182952,            -0.478273
            0.183328,            -0.873719
            0.183704,            -0.195946
            0.184079,             0.723924
            0.184455,             0.754268
            0.184831,            -0.144357
            0.185206,            -0.866504
            0.185582,            -0.521049
            0.185958,             0.468092
            0.186333,             0.880653
            0.186709,             0.205355
            0.187085,            -0.725035
             0.18746,            -0.759482
            0.187836,             0.146755
            0.188212,              0.87254
            0.188587,             0.517186
            0.188963,            -0.480709
            0.189339,             -0.88309
            0.189714,            -0.188411
             0.19009,             0.741744
            0.190466,             0.750083
            0.190841,            -0.175904
            0.191217,            -0.884103
            0.191593,            -0.490605
            0.191969,             0.515929
            0.192344,             0.879597
             0.19272,             0.144328
            0.193096,            -0.772651
            0.193471,            -0.723907
            0.193847,             0.231716
            0.194223,             0.898396
            0.194598,             0.439188
            0.194974,            -0.572052
             0.19535,            -0.866312
            0.195725,           -0.0720598
            0.196101,             0.814096
            0.196477,             0.676886
            0.196852,            -0.313186
            0.197228,            -0.910042
            0.197604,            -0.359902
            0.197979,             0.645408
            0.198355,             0.837047
            0.198731,           -0.0290775
            0.199106,            -0.859788
            0.199482,            -0.603486
            0.199858,             0.417643
            0.200233,             0.910993
            0.200609,             0.249582
            0.200985,            -0.729667
             0.20136,            -0.783636
            0.201736,              0.15837
            0.202112,             0.900415
            0.202487,             0.497547
            0.202863,            -0.539684
            0.203239,            -0.890663
            0.203614,            -0.106177
             0.20399,             0.815056
            0.204366,             0.696714
            0.204741,            -0.312292
            0.205117,            -0.923455
            0.205493,            -0.353667
            0.205868,              0.66997
            0.206244,             0.836546
             0.20662,           -0.0695019
            0.206995,            -0.887762
            0.207371,            -0.567162
            0.207747,             0.482831
            0.208122,             0.913515
            0.208498,             0.169244
            0.208874,            -0.794136
            0.209249,            -0.735616
            0.209625,             0.271623
            0.210001,             0.929907
            0.210376,             0.388387
            0.210752,            -0.655852
            0.211128,            -0.853623
            0.211503,            0.0528756
            0.211879,             0.892307
            0.212255,             0.576826
             0.21263,            -0.487075
            0.213006,            -0.920627
            0.213382,            -0.159502
            0.213757,             0.810035
            0.214133,             0.727879
            0.214509,            -0.301414
            0.214885,            -0.939866
             0.21526,            -0.354817
            0.215636,             0.693709
            0.216012,             0.838834
            0.216387,              -0.1109
            0.216763,            -0.917214
            0.217139,            -0.525733
            0.217514,             0.554078
             0.21789,              0.91024
            0.218266,            0.0746144
            0.218641,            -0.860092
            0.219017,            -0.668059
            0.219393,             0.401141
            0.219768,             0.945091
            0.220144,             0.247698
             0.22052,            -0.776536
            0.220895,            -0.780318
            0.221271,             0.243576
            0.221647,              0.94802
            0.222022,             0.403307
            0.222398,            -0.674464
            0.222774,            -0.863205
            0.223149,             0.088442
            0.223525,             0.924582
            0.223901,             0.538565
            0.224276,            -0.561153
            0.224652,            -0.919011
            0.225028,           -0.0589083
            0.225403,             0.880652
            0.225779,             0.652424
            0.226155,            -0.442927
             0.22653,            -0.951085
            0.226906,            -0.194753
            0.227282,             0.821977
            0.227657,             0.745275
            0.228033,            -0.324993
            0.228409,            -0.963366
            0.228784,            -0.316818
             0.22916,             0.753865
            0.229536,             0.818569
            0.229911,            -0.211425
            0.230287,            -0.960005
            0.230663,            -0.424037
            0.231038,             0.680996
            0.231414,             0.874456
             0.23179,            -0.105232
            0.232165,            -0.945079
            0.232541,            -0.516288
            0.232917,             0.607334
            0.233292,             0.915481
            0.233668,           -0.0084845
            0.234044,            -0.922396
            0.234419,             -0.59414
            0.234795,             0.536124
            0.235171,             0.944337
            0.235546,            0.0775194
            0.235922,             -0.89537
            0.236298,            -0.658614
            0.236674,             0.469933
            0.237049,             0.963675
            0.237425,             0.152086
            0.237801,            -0.866963
            0.238176,            -0.710979
            0.238552,             0.410727
            0.238928,             0.975967
            0.239303,             0.214956
            0.239679,             -0.83966
            0.240055,             -0.75259
             0.24043,             0.359973
            0.240806,             0.983409
            0.241182,             0.266159
            0.241557,             -0.81549
            0.241933,            -0.784747
            0.242309,              0.31873
            0.242684,             0.987863
             0.24306,             0.305875
            0.243436,            -0.796044
            0.243811,            -0.808595
            0.244187,             0.287745
            0.244563,             0.990818
            0.244938,             0.334333
            0.245314,            -0.782517
             0.24569,            -0.825047
            0.246065,             0.267532
            0.246441,             0.993373
            0.246817,             0.351723
            0.247192,             -0.77574
            0.247568,            -0.834733
            0.247944,              0.25843
            0.248319,             0.996223
            0.248695,             0.358141
            0.249071,            -0.776201
            0.249446,            -0.837957
            0.249822,             0.260652
            0.250198,             0.999654
            0.250573,             0.353549
            0.250949,            -0.784062
            0.251325,            -0.834686
              0.2517,             0.274292
            0.252076,              1.00354
            0.252452,             0.337763
            0.252827,            -0.799158
            0.253203,            -0.824533
            0.253579,             0.299333
            0.253954,              1.00732
             0.25433,             0.310463
            0.254706,            -0.820979
            0.255081,            -0.806772
            0.255457,             0.335606
            0.255833,              1.01003
            0.256208,             0.271227
            0.256584,             -0.84864
             0.25696,             -0.78036
            0.257335,              0.38275
            0.257711,              1.01024
            0.258087,             0.219588
            0.258462,            -0.880839
            0.258838,            -0.743977
            0.259214,             0.440126
             0.25959,              1.00611
            0.259965,             0.155126
            0.260341,            -0.915808
            0.260717,            -0.696093
            0.261092,             0.506729
            0.261468,             0.995371
            0.261844,            0.0775773
            0.262219,            -0.951262
            0.262595,            -0.635071
            0.262971,             0.581074
            0.263346,             0.975397
            0.263722,           -0.0130188
            0.264098,            -0.984362
            0.264473,            -0.559291
            0.264849,             0.661079
            0.265225,             0.943252
              0.2656,            -0.116148
            0.265976,              -1.0117
            0.266352,            -0.467333
            0.266727,             0.743946
            0.267103,             0.895826
            0.267479,            -0.230628
            0.267854,              -1.0293
             0.26823,             -0.35819
            0.268606,             0.826059
            0.268981,              0.83001
            0.269357,            -0.354403
            0.269733,             -1.03274
            0.270108,            -0.231533
            0.270484,             0.902928
             0.27086,              0.74294
            0.271235,            -0.484342
            0.271611,             -1.01725
            0.271987,           -0.0880076
            0.272362,             0.969182
            0.272738,             0.632321
            0.273114,            -0.616066
            0.273489,            -0.978004
            0.273865,            0.0704443
            0.274241,              1.01867
            0.274616,             0.496811
            0.274992,            -0.743835
            0.275368,            -0.910437
            0.275743,             0.240276
            0.276119,              1.04465
            0.276495,             0.336475
             0.27687,            -0.860536
            0.277246,            -0.810753
            0.277622,             0.416066
            0.277997,              1.04021
            0.278373,             0.153259
            0.278749,             -0.95782
            0.279124,            -0.676494
              0.2795,             0.590357
            0.279876,             0.998723
            0.280251,           -0.0485386
            0.280627,             -1.02643
            0.281003,            -0.507215
            0.281378,             0.753646
            0.281754,             0.914647
             0.28213,            -0.261892
            0.282506,             -1.05677
            0.282881,            -0.305188
            0.283257,             0.894628
            0.283633,             0.784355
            0.284008,            -0.476833
            0.284384,             -1.03973
             0.28476,           -0.0760707
            0.285135,              1.00073
            0.285511,             0.607142
            0.285887,            -0.680511
            0.286262,            -0.967799
            0.286638,             0.170591
            0.287014,              1.05901
            0.287389,             0.386242
            0.287765,            -0.857637
            0.288141,            -0.836342
            0.288516,             0.421158
            0.288892,              1.05748
            0.289268,             0.129708
            0.289643,            -0.991402
            0.290019,            -0.645055
            0.290395,             0.658143
             0.29077,             0.986726
            0.291146,            -0.148997
            0.291522,             -1.06494
            0.291897,            -0.399326
            0.292273,             0.861069
            0.292649,             0.841808
            0.293024,            -0.430947
              0.2934,             -1.06334
            0.293776,            -0.111313
            0.294151,              1.00805
            0.294527,             0.624238
            0.294903,            -0.692445
            0.295278,            -0.976046
            0.295654,             0.199561
             0.29603,              1.07814
            0.296405,              0.34367
            0.296781,            -0.906659
            0.297157,            -0.799527
            0.297532,             0.507023
            0.297908,              1.05434
            0.298284,            0.0189742
            0.298659,             -1.04629
            0.299035,            -0.539741
            0.299411,             0.779554
            0.299786,             0.927023
            0.300162,            -0.321761
            0.300538,             -1.08722
            0.300913,            -0.213947
            0.301289,             0.983368
            0.301665,             0.697354
             0.30204,            -0.642712
            0.302416,             -1.01286
            0.302792,             0.148738
            0.303167,              1.08674
            0.303543,             0.379993
            0.303919,            -0.903587
            0.304295,            -0.818626
             0.30467,             0.508602
            0.305046,              1.06539
            0.305422,           0.00437603
            0.305797,             -1.06469
            0.306173,            -0.515746
            0.306549,             0.818867
            0.306924,             0.908221
              0.3073,            -0.386238
            0.307676,             -1.09351
            0.308051,            -0.133439
            0.308427,               1.0316
            0.308803,             0.622455
            0.309178,            -0.738565
            0.309554,              -0.9719
             0.30993,             0.281661
            0.310305,              1.10561
            0.310681,             0.236806
            0.311057,            -0.996155
            0.311432,            -0.702758
            0.311808,             0.669611
            0.312184,              1.01545
            0.312559,            -0.198627
            0.312935,             -1.10889
            0.313311,            -0.314358
            0.313686,             0.965135
            0.314062,               0.7597
            0.314438,            -0.616869
            0.314813,             -1.04394
            0.315189,             0.139295
            0.315565,                1.109
             0.31594,             0.366676
            0.316316,            -0.943427
            0.316692,            -0.796001
            0.317067,             0.583552
            0.317443,              1.06122
            0.317819,            -0.104845
            0.318194,             -1.10987
             0.31857,            -0.394419
            0.318946,             0.934201
            0.319321,             0.813564
            0.319697,            -0.571584
            0.320073,              -1.0697
            0.320448,            0.0959237
            0.320824,              1.11372
              0.3212,             0.397901
            0.321575,            -0.939045
            0.321951,            -0.813163
            0.322327,             0.581853
            0.322702,              1.07013
            0.323078,            -0.112918
            0.323454,             -1.12096
            0.323829,            -0.376864
            0.324205,             0.958033
            0.324581,               0.7943
            0.324956,            -0.614301
            0.325332,             -1.06154
            0.325708,             0.156026
            0.326083,              1.13023
            0.326459,             0.330456
            0.326835,            -0.989683
            0.327211,            -0.755213
            0.327586,              0.66784
            0.327962,              1.04129
            0.328338,            -0.225116
            0.328713,              -1.1383
            0.329089,            -0.257399
            0.329465,              1.03082
             0.32984,             0.693035
            0.330216,            -0.740102
            0.330592,             -1.00509
            0.330967,             0.319383
            0.331343,              1.14006
            0.331719,             0.156387
            0.332094,             -1.07633
             0.33247,            -0.604152
            0.332846,             0.827028
            0.333221,             0.947288
            0.333597,            -0.436793
            0.333973,              -1.1285
            0.334348,              -0.0267
            0.334724,              1.11897
              0.3351,             0.484789
            0.335475,            -0.922378
            0.335851,            -0.861273
            0.336227,             0.573363
            0.336602,              1.09494
            0.336978,            -0.130929
            0.337354,             -1.14919
            0.337729,             -0.33189
            0.338105,              1.01723
            0.338481,             0.740242
            0.338856,            -0.722332
            0.339232,             -1.02951
            0.339608,             0.313237
            0.339983,              1.15525
            0.340359,             0.144309
            0.340735,             -1.09962
             0.34111,            -0.578339
            0.341486,             0.873351
            0.341862,             0.922017
            0.342237,            -0.513226
            0.342613,             -1.12375
            0.342989,            0.0757004
            0.343364,               1.1546
             0.34374,             0.372256
            0.344116,             -1.01192
            0.344491,            -0.763525
            0.344867,             0.719008
            0.345243,              1.04082
            0.345618,            -0.320826
            0.345994,             -1.16482
             0.34637,            -0.123235
            0.346745,              1.11936
            0.347121,              0.54842
            0.347497,            -0.913008
            0.347872,            -0.894082
            0.348248,              0.57713
            0.348624,              1.11218
            0.348999,            -0.160692
            0.349375,             -1.17368
            0.349751,            -0.277143
            0.350127,              1.07194
            0.350502,             0.675559
            0.350878,            -0.823013
            0.351254,            -0.980492
            0.351629,              0.46264
            0.352005,              1.15178
            0.352381,           -0.0408317
            0.352756,             -1.16813
            0.353132,            -0.385317
            0.353508,              1.02933
            0.353883,             0.759433
            0.354259,            -0.755617
            0.354635,             -1.03324
             0.35501,             0.384354
            0.355386,              1.17259
            0.355762,            0.0353784
            0.356137,             -1.16138
            0.356513,            -0.449443
            0.356889,              1.00298
            0.357264,             0.805679
             0.35764,             -0.71923
            0.358016,             -1.06038
            0.358391,             0.347016
            0.358767,              1.18344
            0.359143,            0.0667462
            0.359518,             -1.16157
            0.359894,            -0.471195
             0.36027,             0.999383
            0.360645,             0.817811
            0.361021,            -0.718176
            0.361397,             -1.06614
            0.361772,             0.352859
            0.362148,              1.18829
            0.362524,            0.0526427
            0.362899,             -1.17178
            0.363275,            -0.450812
            0.363651,              1.02045
            0.364026,             0.796146
            0.364402,            -0.753416
            0.364778,             -1.05026
            0.365153,              0.40239
            0.365529,              1.18598
            0.365905,          -0.00767432
             0.36628,             -1.18995
            0.366656,            -0.386619
            0.367032,              1.06362
            0.367407,             0.737541
            0.367783,            -0.822563
            0.368159,             -1.00792
            0.368534,             0.494256
             0.36891,              1.17013
            0.369286,            -0.114743
            0.369661,             -1.20869
            0.370037,            -0.275492
            0.370413,              1.12141
            0.370788,              0.63591
            0.371164,            -0.919137
             0.37154,             -0.93009
            0.371916,             0.624171
            0.372291,              1.12929
            0.372667,            -0.267556
            0.373043,             -1.21504
            0.373418,            -0.114351
            0.373794,              1.18061
             0.37417,             0.483674
            0.374545,             -1.03121
            0.374921,            -0.804787
            0.375297,             0.783009
            0.375672,             0.783009

t [s] (#2), Input acceleration [g] (#2)
                   0,            -0.474751
         0.000362257,            -0.474751
         0.000724514,            -0.582935
          0.00108677,            -0.239281
          0.00144903,             0.290872
          0.00181128,             0.596201
          0.00217354,             0.438553
           0.0025358,           -0.0608132
          0.00289805,              -0.5139
          0.00326031,            -0.567225
          0.00362257,            -0.177913
          0.00398482,             0.351257
          0.00434708,             0.606906
          0.00470934,             0.388074
           0.0050716,            -0.135275
          0.00543385,            -0.553695
          0.00579611,             -0.53844
          0.00615837,            -0.100142
          0.00652062,             0.417863
          0.00688288,             0.608116
          0.00724514,             0.319717
          0.00760739,            -0.221415
          0.00796965,            -0.588981
          0.00833191,            -0.492076
          0.00869416,          -0.00588009
          0.00905642,              0.48603
          0.00941868,             0.594009
          0.00978093,             0.231254
           0.0101432,            -0.315813
           0.0105054,            -0.613215
           0.0108677,             -0.42373
             0.01123,             0.103359
           0.0115922,             0.549268
           0.0119545,             0.558255
           0.0123167,               0.1218
            0.012679,            -0.412881
           0.0130412,             -0.61866
           0.0134035,            -0.329872
           0.0137658,             0.223725
            0.014128,             0.599182
           0.0144903,             0.494713
           0.0148525,          -0.00726183
           0.0152148,            -0.504484
            0.015577,            -0.596916
